,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,21,,,,,,,,,,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,21,,1,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,61,,,,,,,,,,,25,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,61,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,21,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,31,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,30,1,,,1,1,,1,,,,,,1,,,,,,,,,,,,
,,,,,,,1,,,,,,,,1,1,1,,,,,,25,,,,,,,,,1,,,21,,,,62,,,,1,1,1,1,1,,,,,21,21,21,,,,,,,,1,,,,,,,23,,,,,,,,,,,,,,,,,,30,30,1,,,,,,1,,,,,1,,,,,,,,,,,,,
,,,,20,,1,,,,22,,,62,62,,,,,,,,,,,,,,31,,32,,1,,,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,,31,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,30,,1,1,1,,25,,1,,,,1,,,,,,,,,24,,,,,
1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,25,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
