,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,,,,,,,,,,,,,,,,,63,,,,,,21,,,,,,,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,21,61,61,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,,,,,,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,21,,,2,,,,,,,,,
,,,,,,,26,,,,21,,,61,,,,,,,,,,,,,,40,,,,,,62,2,,,,,,,,,,
,20,,,1,1,1,1,,,,,1,1,2,2,,,,,,,,63,,,,,,,,,,,2,,,,,,,,,,,
,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,61,,,,62,2,,,,,,,,,,,,
,,1,,,,,,,62,,,1,,,,,,,,,,,2,2,,,,,,,,2,,,,,,,,,,,,,
,1,,,,,,,,1,1,1,1,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
